listing_id,date
68951,2012-03-12
68951,2012-05-19
68951,2012-05-29
68951,2012-06-12
68951,2012-07-02
68951,2012-08-09
68951,2013-01-04
68951,2013-05-31
68951,2013-07-20
68951,2013-08-07
68951,2013-09-13
68951,2013-10-17
68951,2013-11-24
68951,2013-12-19
68951,2014-02-08
68951,2014-03-18
68951,2014-06-23
68951,2014-07-14
68951,2014-08-10
68951,2014-08-20
68951,2014-09-18
68951,2014-10-12
68951,2014-10-15
68951,2014-10-29
68951,2014-10-31
68951,2014-12-19
68951,2014-12-26
68951,2015-01-30
68951,2015-05-10
68951,2015-05-17
68951,2015-06-08
68951,2015-07-06
68951,2015-07-21
68951,2015-08-27
68951,2015-09-21
68951,2015-09-27
68951,2015-11-08
68951,2015-12-02
68951,2015-12-20
68951,2015-12-27
68951,2016-01-26
68951,2016-03-24
68951,2016-05-31
68951,2016-06-27
68951,2016-07-10
68951,2016-07-24
68951,2016-08-01
68951,2016-08-22
68951,2016-10-13
68951,2016-10-24
68951,2016-11-11
68951,2016-12-07
68951,2017-01-10
68951,2017-04-05
68951,2017-04-21
68951,2017-07-04
68951,2017-07-16
68951,2017-08-13
68951,2017-08-29
68951,2017-09-10
68951,2017-09-10
68951,2017-10-15
68951,2017-10-25
68951,2017-11-04
68951,2017-11-12
68951,2017-11-26
68951,2017-12-21
68951,2018-01-18
68951,2018-04-10
68951,2018-04-29
68951,2018-07-09
68951,2018-07-16
68951,2018-08-08
68951,2018-09-03
68951,2018-12-22
68951,2019-03-11
68951,2019-04-06
68951,2019-04-22
68951,2019-05-09
68951,2019-06-02
68951,2019-07-19
68951,2019-10-03
85109,2011-05-02
85109,2011-05-23
85109,2011-06-06
85109,2011-06-09
85109,2011-06-17
85109,2011-06-26
85109,2011-07-18
85109,2011-09-14
85109,2011-09-30
85109,2011-10-03
85109,2011-10-10
85109,2011-11-28
85109,2011-12-05
85109,2011-12-11
85109,2011-12-12
85109,2012-01-02
85109,2012-01-30
85109,2012-03-03
85109,2012-03-12
85109,2012-04-03
85109,2012-04-25
85109,2012-05-09
85109,2012-05-21
85109,2012-06-23
85109,2012-06-24
85109,2012-07-02
85109,2012-07-06
85109,2012-07-09
85109,2012-07-11
85109,2012-07-17
85109,2012-07-22
85109,2012-08-04
85109,2012-08-08
85109,2012-08-11
85109,2012-08-28
85109,2012-09-01
85109,2012-09-08
85109,2012-10-04
85109,2012-10-08
85109,2012-10-19
85109,2012-10-27
85109,2012-11-05
85109,2012-11-13
85109,2012-11-26
85109,2012-12-04
85109,2012-12-11
85109,2012-12-13
85109,2012-12-19
85109,2012-12-25
85109,2013-02-02
85109,2013-02-26
85109,2013-03-02
85109,2013-04-08
85109,2013-04-26
85109,2013-05-07
85109,2013-05-13
85109,2013-05-15
85109,2013-05-18
85109,2013-05-23
85109,2013-05-29
85109,2013-07-05
